mum,longitude,latitude
1,114.0431014,22.57601091
88,114.0726739,22.53513751
11,114.0557577,22.52875749
2,114.0529862,22.57518554
8,114.0557604,22.52540374
43,114.0216198,22.53706274
7,114.0134933,22.55790632
7,114.0633711,22.55171964
4,114.0303955,22.57034561
12,114.0502359,22.5695854
1,114.0229228,22.52732098
34,114.0384779,22.56694231
5,114.0773773,22.55900686
9,114.0389642,22.52188896
5,114.0375476,22.52093411
34,114.0255894,22.53001991
9,114.0961851,22.54213568
14,114.0637902,22.54070796
3,114.0254437,22.52954298
19,114.0488158,22.52666599
30,114.0942341,22.54123485
16,114.0870575,22.54145539
9,114.0615099,22.56576025
4,114.0870592,22.5404198
57,114.0504259,22.51145234
2,114.0288022,22.52601469
6,114.0570379,22.53063246
15,114.0850922,22.54193743
6,114.0808211,22.55644836
3,114.0204551,22.55136011
1,114.0290618,22.52351895
8,114.0348328,22.54932601
5,114.0277473,22.52524833
5,114.0877606,22.53944825
2,113.9988189,22.53677437
4,114.0761453,22.53290609
6,114.0225872,22.52663881
5,114.0055127,22.55079018
13,114.0878596,22.53858018
2,114.0327288,22.52040886
2,114.027523,22.52473148
5,114.0805785,22.54132032
44,114.0766265,22.56053969
6,114.0427843,22.5515915
83,114.0765335,22.549945
1,114.0822574,22.53990789
190,114.0868672,22.54008295
15,114.0220258,22.54136365
15,114.0651808,22.54164969
2,114.0370129,22.56120069
11,114.0364991,22.52184942
7,114.0568631,22.52422225
2,114.0687384,22.53768252
1,114.0231243,22.52659733
2,114.0406265,22.51078386
12,114.0270647,22.525825
3,114.0451323,22.52214925
262,114.089547,22.54752455
1,113.9935996,22.54589564
14,114.0060196,22.53906423
9786,114.0823802,22.54407086
1,114.0347281,22.55169112
23,114.0404355,22.56831672
2,114.0314066,22.56389265
2,114.0708619,22.522344
6,114.073759,22.53840732
8894,114.080998,22.54403547
9,114.0578972,22.52488714
13,114.0663776,22.53691057
12,114.0658855,22.54142722
1,114.0570332,22.53093197
188,114.071768,22.54496496
10,114.0352971,22.52019841
19,114.0441444,22.5177853
1112,114.0876791,22.54293424
10,114.0508468,22.56782274
1,114.0409578,22.51844631
5,114.0320476,22.51982761
11,114.0922376,22.56012705
26,114.0252655,22.52714628
3,114.0383276,22.56633641
3,114.0788596,22.53567033
55,114.0779165,22.55019079
23,114.027659,22.52326341
4,114.0791293,22.53289006
41,114.0482213,22.56700235
13,114.0230332,22.52883865
17,114.0367033,22.56514544
14,114.0587894,22.52108259
6,114.0289491,22.52749936
20,114.0435826,22.51019784
71,114.0266648,22.52444941
45,114.028618,22.56074473
24,114.0390182,22.51827966
12,114.0906241,22.5404824
60,114.0780651,22.5487429
15,114.0405179,22.56763299
12,114.078527,22.55607674
5,114.0659956,22.54001601
8,114.0633729,22.55508177
10,114.0320083,22.52191419
2,114.0454179,22.52273588
11,114.0641472,22.52992497
7,114.0274308,22.52438211
26,114.0600791,22.57406632
5,114.0742261,22.53843097
8,114.0157551,22.54626503
4,114.0655974,22.54120916
15,114.0196451,22.53037505
1,114.0301122,22.52691995
1,114.0459944,22.52182823
3,114.0186464,22.52808733
4,114.034374,22.51982676
1,114.0219878,22.52879009
4,114.0372037,22.56031039
2,114.0355,22.55470114
20,114.0393167,22.52847879
1,114.0373399,22.52297254
10,114.0113438,22.54238507
18,114.0654705,22.53921718
3,114.025428,22.52492451
3,114.0370495,22.5212806
974,114.0779172,22.53828919
231,114.0660312,22.53252666
26,114.0788701,22.56073429
13,113.9916593,22.53343981
2,114.0801617,22.53805918
6,114.028718,22.52578258
2,114.0372039,22.5471392
18,114.0435919,22.5250586
68,114.0968712,22.56810981
187,114.0115141,22.53966052
3,114.0880432,22.538987
2,114.0845662,22.54097732
26,114.0420686,22.53321218
6,114.0370047,22.52507766
10,114.0797293,22.53458564
4,114.087173,22.53913236
12,114.036853,22.56511904
10,114.0809992,22.53432287
14,114.0728185,22.53275187
33,114.0922213,22.56235776
3,114.0397328,22.52626933
10,114.0337178,22.5205542
89,114.0387244,22.52173392
39,114.0638715,22.5391878
119,114.0532975,22.56910554
5,114.098988,22.55566517
7,114.0656099,22.54002838
3,114.0257871,22.52857798
12,114.0774951,22.55521608
16,114.0372947,22.5654583
7,114.0438398,22.52551202
230,114.0638648,22.56736384
81,114.0676693,22.51975083
1,114.0449115,22.52263062
106,114.040291,22.56073218
4,114.0435072,22.51473329
5,114.0300211,22.57178147
2,114.0121244,22.55116609
11,114.0401037,22.55046736
5,114.041961,22.52915491
7,114.0275948,22.5256666
1,114.0463139,22.52313607
12,114.0793886,22.53489414
27,114.0496906,22.56765212
2,114.0506159,22.56292089
38,114.0493419,22.50617802
1,114.0361902,22.52127855
7,114.0356909,22.51998512
3,114.0748615,22.53581299
16,114.0390795,22.56873581
25,114.0512046,22.56857384
7,114.0450621,22.52018528
4,114.032802,22.51907628
4,114.0329454,22.52011217
592,114.0451609,22.53990981
1,114.0748291,22.53526051
1,114.0683649,22.57010991
3,114.0472024,22.52385197
1,114.0334403,22.56551709
4,114.074389,22.53441538
4,114.0246312,22.52789842
2,114.0752191,22.53780328
11,114.0273437,22.52841084
35,114.0617211,22.53292937
1,114.0292015,22.57072088
1,114.0358293,22.56094508
16,114.0261386,22.54171574
4,114.0462049,22.56893401
2,114.0446495,22.5241942
10,114.0575495,22.52722124
1,114.0730147,22.53691272
37,114.0872756,22.54466957
1,114.0764348,22.53322102
1,114.0422865,22.52626065
1,114.0459103,22.51481297
1,114.0738476,22.53603013
22,114.0352058,22.52226442
1162,114.0262311,22.53660715
48,114.0599081,22.522061
1,114.0198584,22.52795755
2,114.0455895,22.52185529
6,114.0234652,22.52552707
3,114.0581969,22.52145901
11,114.0799018,22.53418779
15,114.0618955,22.54679982
2,114.0284512,22.52526168
9,114.07806,22.53661554
2,114.0136126,22.54418832
8,114.0984117,22.56207984
208,114.0432288,22.54477692
4,114.0764616,22.53301971
1,114.0418137,22.57269724
17,114.0864762,22.53868937
3,114.01631,22.55857438
6,114.0290203,22.52652905
4,114.0121678,22.55077965
1,114.0374326,22.52077185
12,114.0143238,22.54019641
6,114.0331206,22.52050219
17,114.0749684,22.53515201
8,114.0276156,22.52692124
5,114.066837,22.55362925
2,114.0368684,22.52140728
4,114.0230153,22.52824495
4,114.0825582,22.53420218
4,114.0764865,22.53693547
5,114.0692713,22.5379049
2,114.0440718,22.52752376
1,114.042342,22.55357166
2,114.0779585,22.5366456
7,114.019764,22.52903294
11,114.0226077,22.52799191
7,114.0205337,22.52693457
3,114.0273941,22.52780434
8,114.0440049,22.52553586
4,114.0341299,22.51910826
24,114.0851395,22.54596276
11,114.0641787,22.55087227
10,114.087806,22.53677492
1,114.0219826,22.52499139
7,114.057733,22.52919908
4,114.0917179,22.55020105
1,114.0863107,22.53852035
9,114.0763906,22.53683299
5,114.0754685,22.53414902
3,114.0640323,22.54078284
2,114.0362792,22.52032811
1,114.0536377,22.52681054
1,114.0304507,22.52530424
20,114.049189,22.54863546
17,114.0441699,22.52217336
1,114.0121635,22.54155156
15,114.0221242,22.52602176
14,114.0240971,22.52762447
61,114.0927683,22.56057881
20,114.0559694,22.52718482
3,114.0651764,22.53984221
2,114.0192716,22.52940006
3,114.0225806,22.52684144
9,114.0107209,22.54324654
82,114.0381931,22.53148827
7,114.0644862,22.55509251
20,114.0369037,22.56529075
3,114.0737803,22.53795167
8,114.0638414,22.53905486
7,114.0973776,22.54210625
